Var2,value,addNP,ratio,trt_yr,bf_comp,bf_type
chla.ann.rr1,5.391903164,38.30325084,32,YR1,a.chla,Biomass
chla.ann.rr1,14.69339092,104.0466154,128,YR1,a.chla,Biomass
chla.ann.rr1,6.20321068,17.85251517,16,YR1,a.chla,Biomass
chla.ann.rr1,6.868523528,2.517688988,2,YR1,a.chla,Biomass
chla.ann.rr1,7.591183425,10.05277215,8,YR1,a.chla,Biomass
chla.ann.rr2,6.941979082,30.82102218,32,YR2,a.chla,Biomass
chla.ann.rr2,12.09021726,110.0625658,128,YR2,a.chla,Biomass
chla.ann.rr2,15.62415891,15.31208647,16,YR2,a.chla,Biomass
chla.ann.rr2,6.32994988,2.235482716,2,YR2,a.chla,Biomass
chla.ann.rr2,11.11177464,9.353721437,8,YR2,a.chla,Biomass
afdm.ann.rr1,0.899353385,38.30325084,32,YR1,b.AFDM,Biomass
afdm.ann.rr1,1.031005044,104.0466154,128,YR1,b.AFDM,Biomass
afdm.ann.rr1,0.977405298,17.85251517,16,YR1,b.AFDM,Biomass
afdm.ann.rr1,1.382366991,2.517688988,2,YR1,b.AFDM,Biomass
afdm.ann.rr1,1.137374991,10.05277215,8,YR1,b.AFDM,Biomass
afdm.ann.rr2,1.043717343,30.82102218,32,YR2,b.AFDM,Biomass
afdm.ann.rr2,0.896537531,110.0625658,128,YR2,b.AFDM,Biomass
afdm.ann.rr2,1.262693455,15.31208647,16,YR2,b.AFDM,Biomass
afdm.ann.rr2,0.756212654,2.235482716,2,YR2,b.AFDM,Biomass
afdm.ann.rr2,1.88440673,9.353721437,8,YR2,b.AFDM,Biomass
cn.ann.rr1,0.665695958,38.30325084,32,YR1,c.C:N,Stoichiometry
cn.ann.rr1,0.851417959,104.0466154,128,YR1,c.C:N,Stoichiometry
cn.ann.rr1,0.85443051,17.85251517,16,YR1,c.C:N,Stoichiometry
cn.ann.rr1,0.725680926,2.517688988,2,YR1,c.C:N,Stoichiometry
cn.ann.rr1,0.497485436,10.05277215,8,YR1,c.C:N,Stoichiometry
cn.ann.rr2,0.704409624,30.82102218,32,YR2,c.C:N,Stoichiometry
cn.ann.rr2,0.862234036,110.0625658,128,YR2,c.C:N,Stoichiometry
cn.ann.rr2,0.86522832,15.31208647,16,YR2,c.C:N,Stoichiometry
cn.ann.rr2,0.874293953,2.235482716,2,YR2,c.C:N,Stoichiometry
cn.ann.rr2,0.68110211,9.353721437,8,YR2,c.C:N,Stoichiometry
cp.ann.rr1,0.501233289,38.30325084,32,YR1,c.C:P,Stoichiometry
cp.ann.rr1,1.15694538,104.0466154,128,YR1,c.C:P,Stoichiometry
cp.ann.rr1,0.743271463,17.85251517,16,YR1,c.C:P,Stoichiometry
cp.ann.rr1,0.531280122,2.517688988,2,YR1,c.C:P,Stoichiometry
cp.ann.rr1,0.291909581,10.05277215,8,YR1,c.C:P,Stoichiometry
cp.ann.rr2,0.441329087,30.82102218,32,YR2,c.C:P,Stoichiometry
cp.ann.rr2,0.717663227,110.0625658,128,YR2,c.C:P,Stoichiometry
cp.ann.rr2,0.756927122,15.31208647,16,YR2,c.C:P,Stoichiometry
cp.ann.rr2,0.411242906,2.235482716,2,YR2,c.C:P,Stoichiometry
cp.ann.rr2,0.251642839,9.353721437,8,YR2,c.C:P,Stoichiometry
np.ann.rr1,0.829123012,38.30325084,32,YR1,d.N:P,Stoichiometry
np.ann.rr1,1.220482515,104.0466154,128,YR1,d.N:P,Stoichiometry
np.ann.rr1,0.87370042,17.85251517,16,YR1,d.N:P,Stoichiometry
np.ann.rr1,0.791624287,2.517688988,2,YR1,d.N:P,Stoichiometry
np.ann.rr1,0.639827249,10.05277215,8,YR1,d.N:P,Stoichiometry
np.ann.rr2,0.766915519,30.82102218,32,YR2,d.N:P,Stoichiometry
np.ann.rr2,0.88703857,110.0625658,128,YR2,d.N:P,Stoichiometry
np.ann.rr2,0.734610128,15.31208647,16,YR2,d.N:P,Stoichiometry
np.ann.rr2,0.632029268,2.235482716,2,YR2,d.N:P,Stoichiometry
np.ann.rr2,0.50505638,9.353721437,8,YR2,d.N:P,Stoichiometry
