Var2,value,addNP,ratio,trt_yr,bf_comp,bf_type
chla.ann.rr1,5.493400964,38.30325084,32,YR1,a.chla,Biomass
chla.ann.rr1,15.16782865,104.0466154,128,YR1,a.chla,Biomass
chla.ann.rr1,6.674641467,17.85251517,16,YR1,a.chla,Biomass
chla.ann.rr1,7.192951258,2.517688988,2,YR1,a.chla,Biomass
chla.ann.rr1,7.661459355,10.05277215,8,YR1,a.chla,Biomass
chla.ann.rr2,7.035461453,30.82102218,32,YR2,a.chla,Biomass
chla.ann.rr2,12.29636331,110.0625658,128,YR2,a.chla,Biomass
chla.ann.rr2,16.65662389,15.31208647,16,YR2,a.chla,Biomass
chla.ann.rr2,6.505857254,2.235482716,2,YR2,a.chla,Biomass
chla.ann.rr2,11.187975,9.353721437,8,YR2,a.chla,Biomass
afdm.ann.rr1,0.887138188,38.30325084,32,YR1,b.AFDM,Biomass
afdm.ann.rr1,1.09360576,104.0466154,128,YR1,b.AFDM,Biomass
afdm.ann.rr1,0.976401642,17.85251517,16,YR1,b.AFDM,Biomass
afdm.ann.rr1,1.420572754,2.517688988,2,YR1,b.AFDM,Biomass
afdm.ann.rr1,1.088908775,10.05277215,8,YR1,b.AFDM,Biomass
afdm.ann.rr2,1.07492725,30.82102218,32,YR2,b.AFDM,Biomass
afdm.ann.rr2,0.932331892,110.0625658,128,YR2,b.AFDM,Biomass
afdm.ann.rr2,1.255405283,15.31208647,16,YR2,b.AFDM,Biomass
afdm.ann.rr2,0.747876512,2.235482716,2,YR2,b.AFDM,Biomass
afdm.ann.rr2,1.810452837,9.353721437,8,YR2,b.AFDM,Biomass
cn.ann.rr1,0.665555752,38.30325084,32,YR1,c.C:N,Stoichiometry
cn.ann.rr1,0.879940283,104.0466154,128,YR1,c.C:N,Stoichiometry
cn.ann.rr1,0.83552419,17.85251517,16,YR1,c.C:N,Stoichiometry
cn.ann.rr1,0.71507926,2.517688988,2,YR1,c.C:N,Stoichiometry
cn.ann.rr1,0.493833997,10.05277215,8,YR1,c.C:N,Stoichiometry
cn.ann.rr2,0.674782309,30.82102218,32,YR2,c.C:N,Stoichiometry
cn.ann.rr2,0.895496302,110.0625658,128,YR2,c.C:N,Stoichiometry
cn.ann.rr2,0.835528961,15.31208647,16,YR2,c.C:N,Stoichiometry
cn.ann.rr2,0.899091985,2.235482716,2,YR2,c.C:N,Stoichiometry
cn.ann.rr2,0.684100661,9.353721437,8,YR2,c.C:N,Stoichiometry
cp.ann.rr1,0.487115476,38.30325084,32,YR1,c.C:P,Stoichiometry
cp.ann.rr1,1.175336297,104.0466154,128,YR1,c.C:P,Stoichiometry
cp.ann.rr1,0.721218158,17.85251517,16,YR1,c.C:P,Stoichiometry
cp.ann.rr1,0.54827203,2.517688988,2,YR1,c.C:P,Stoichiometry
cp.ann.rr1,0.291909581,10.05277215,8,YR1,c.C:P,Stoichiometry
cp.ann.rr2,0.407832148,30.82102218,32,YR2,c.C:P,Stoichiometry
cp.ann.rr2,0.71693634,110.0625658,128,YR2,c.C:P,Stoichiometry
cp.ann.rr2,0.644526444,15.31208647,16,YR2,c.C:P,Stoichiometry
cp.ann.rr2,0.476292444,2.235482716,2,YR2,c.C:P,Stoichiometry
cp.ann.rr2,0.252355275,9.353721437,8,YR2,c.C:P,Stoichiometry
np.ann.rr1,0.788298891,38.30325084,32,YR1,d.N:P,Stoichiometry
np.ann.rr1,1.196870291,104.0466154,128,YR1,d.N:P,Stoichiometry
np.ann.rr1,0.885194016,17.85251517,16,YR1,d.N:P,Stoichiometry
np.ann.rr1,0.810812454,2.517688988,2,YR1,d.N:P,Stoichiometry
np.ann.rr1,0.639827249,10.05277215,8,YR1,d.N:P,Stoichiometry
np.ann.rr2,0.714720273,30.82102218,32,YR2,d.N:P,Stoichiometry
np.ann.rr2,0.849033858,110.0625658,128,YR2,d.N:P,Stoichiometry
np.ann.rr2,0.696210496,15.31208647,16,YR2,d.N:P,Stoichiometry
np.ann.rr2,0.726173234,2.235482716,2,YR2,d.N:P,Stoichiometry
np.ann.rr2,0.505758967,9.353721437,8,YR2,d.N:P,Stoichiometry
