date,year,trt_yr,yr_mon,peak,stream,ratio,mean.chla,mean.afdm,mean.bf.ratio,mean.cp,mean.cn,mean.np,se.chla,se.afdm,se.bf.ratio,se.cp,se.cn,se.np,Light,mean.light2,mean.discharge2,mean.temp2,mean.din2,mean.srp2,mean.np2,light2.z,temp2.z,discharge2.z,addN2.z,addP2.z,addNP2.z
9/10/2010,2010,PRE,2010-09,notpeak,9,2,1.681234722,0.335527778,699.8394859,1071.160664,17.38237863,60.3782241,1.398494484,0.100657219,431.8662265,307.9072878,3.938254969,4.2734157,0.253541572,0.290374747,1.544967867,17.52091632,23.9474,2,26.51319286,-1.495101441,1.457085399,-2.193462721,-1.965958744,-1.622846147,0.115380607
10/10/2010,2010,PRE,2010-10,notpeak,9,2,0.160076389,0.219101852,5.34457E+16,846.9766514,14.61272048,60.18834736,0.364830295,0.055146798,5.34457E+16,138.1500143,3.158976781,7.590258046,0.434492203,0.344016887,2.174041199,14.07323756,19.9825625,2,22.12355134,-1.264310292,0.935014665,-1.69877936,-2.148346159,-1.622846147,-0.032413515
11/10/2010,2010,PRE,2010-11,notpeak,9,2,0.418578125,0.18935,462.2792939,NA,NA,NA,0.053863542,0.00735,77.04654934,NA,NA,NA,0.783825632,0.609158918,4.089261178,10.12959572,14.7588625,2.475,13.93354087,-0.486392549,0.151591956,-0.783839594,-2.453685568,-1.461316719,-0.409937211
12/10/2010,2010,PRE,2010-12,notpeak,9,2,0.441291667,0.096518518,9.0382E+16,NA,NA,NA,0.299366104,0.012960304,9.0382E+16,NA,NA,NA,0.689390009,0.736607821,6.282227846,6.035592356,13.2077125,2.6104125,11.36351352,-0.227748806,-1.082075036,-0.16203929,-2.565579713,-1.42093849,-0.576423275
1/10/2011,2011,PRE,2011-01,notpeak,9,2,0.395864583,0.045018444,215.3382552,487.6970769,9.886809535,42.152462,0.195443152,0.011860672,140.3190348,298.0395233,5.07949308,7.138607193,0.623509753,0.656449881,6.288000981,3.163567541,20.9977125,2.270825,12.59385513,-0.384600664,-2.621155274,-0.160709058,-2.098412761,-1.52658032,-0.492481521
2/10/2011,2011,PRE,2011-02,notpeak,9,2,1.046445313,0.099270833,172.9980381,213.895924,6.93667301,31.3773668,0.302693152,0.015218464,100.515371,55.37327859,0.348559978,8.825775409,1.480551144,1.052030449,5.364278328,3.807589136,25.44125,3.247,14.86817502,0.257502136,-2.179674117,-0.390801276,-1.9049827,-1.25552039,-0.356923891
3/10/2011,2011,PRE,2011-03,peak,9,2,0.908541666,0.100509259,137.3283398,127.9429579,3.346750661,30.51502317,0.306044236,0.010081437,39.72009541,68.7341854,1.105259702,14.18351854,2.632755369,2.056653256,7.063185361,6.225520588,18.34625,3.20725,12.63862015,1.170162121,-1.008255582,0.007648597,-2.234435988,-1.264857422,-0.489584253
4/10/2011,2011,PRE,2011-04,peak,9,2,2.419316667,0.148648347,53.72094398,523.4190439,11.70178261,36.78989484,0.525285171,0.035498597,14.81957069,400.2583239,5.636761929,16.48316771,3.695435675,3.164095522,8.079209195,8.794695524,13.42875,3.668625,8.382116944,1.756658093,-0.185095939,0.202283778,-2.548855477,-1.162976894,-0.824903235
5/10/2011,2011,PRE,2011-05,peak,9,2,1.98737,0.073394444,50.11862863,247.1630501,6.439196311,37.26584347,0.655618603,0.0058805,18.54801821,56.16314689,0.760083784,3.996509424,0.593075314,2.144255494,5.620716988,10.97767402,11.9675,4.16975,6.355168604,1.226951503,0.343156099,-0.32317406,-2.664941997,-1.065920352,-1.050948598
6/10/2011,2011,PRE,2011-06,peak,9,2,0.929957292,0.1194875,137.5601926,627.9123028,9.685573701,53.34124507,0.108085499,0.02060872,35.96687776,417.7586993,1.344697682,30.23392069,0.480809965,0.536942639,3.248259231,13.89639086,NA,NA,NA,-0.658191291,0.904885124,-1.11728086,NA,NA,NA
7/10/2011,2011,PRE,2011-07,notpeak,9,2,3.182491667,0.118277778,78.81382022,523.3058188,12.38871608,40.55042084,1.427884525,0.010984136,32.97672316,139.9054494,2.470536042,3.865086604,0.304784796,0.39279738,1.767542727,16.75619731,NA,NA,7.476489427,-1.083777497,1.35075776,-1.998553368,NA,NA,-0.918264465
8/10/2011,2011,YR1,2011-08,notpeak,9,2,0.79043125,0.399401807,560.888317,594.0187619,10.8467665,49.77522755,0.327607639,0.110600758,196.142574,350.7117026,2.73683835,19.7740913,0.425671766,0.365228281,0.716093581,17.92567742,110.6627163,126.9276483,8.323235071,-1.182852136,1.51150052,-3.307053673,-0.423596627,1.523303064,-0.83065945
9/10/2011,2011,YR1,2011-09,notpeak,9,2,3.144852083,0.121796296,474.4069922,146.8163998,7.715335742,18.63135259,2.778807049,0.004603221,158.0372964,41.12938255,0.437584316,4.481682925,0.23876823,0.332219998,0.714901386,16.85914556,116.1987105,112.8845207,3.247591891,-1.311815906,1.365351253,-3.309466735,-0.374407614,1.434423521,-1.599138743
10/10/2011,2011,YR1,2011-10,notpeak,9,2,0.557455209,0.140277778,517.2106298,216.1506786,5.725669454,38.40082283,0.16185798,0.026696569,293.078185,17.73311331,0.702001543,3.194227497,0.588379904,0.413574067,1.090903996,12.86287137,121.7347046,98.84139308,3.243278848,-1.013604583,0.720749811,-2.69743163,-0.327508409,1.333721096,-1.600223893
11/10/2011,2011,YR1,2011-11,notpeak,9,2,0.22973125,0.101825,443.0176564,199.2988329,6.580189498,30.93138159,0.001297917,0.009425,38.52327384,57.43752193,0.399348738,10.60606691,0.834266698,0.711323301,2.566216518,8.973905914,135.5181623,121.2689211,3.189041265,-0.275302383,-0.137034018,-1.458602527,-0.219424519,1.488732196,-1.613994472
12/10/2011,2011,YR1,2011-12,notpeak,9,2,0.509648611,0.135375,277.0346596,321.6704377,7.386995884,44.46275934,0.060141474,0.048967258,109.367688,9.677813566,0.659226412,3.689768841,0.841155005,0.837710852,6.268540408,7.549422043,102.2117466,93.65064658,3.255381958,-0.052642467,-0.548862028,-0.165198009,-0.503646049,1.292829471,-1.597182428
1/10/2012,2012,YR1,2012-01,notpeak,9,2,0.1246,0.03055,5.55556E+15,262.4927589,8.426639358,31.12358531,0.062462029,0.003863612,5.55556E+15,13.20579491,0.130999462,1.186317956,0.875767421,0.858461213,7.466382173,7.026836651,128.6745476,90.32918043,3.231582175,-0.019329781,-0.719774531,0.088044681,-0.271641144,1.265456695,-1.603174026
2/10/2012,2012,YR1,2012-02,notpeak,9,2,0.962188889,0.109972222,319.2438025,NA,4.360833833,NA,0.580247304,0.033590869,191.531668,NA,0.599316194,NA,1.304285536,1.090026479,5.137857716,6.253256562,138.3118732,103.6368691,3.105438482,0.305806347,-0.997664299,-0.453255901,-0.198862661,1.369633673,-1.635686274
3/10/2012,2012,YR1,2012-03,peak,9,2,2.532559896,0.079590278,35.94246681,NA,NA,NA,0.565521762,0.006783045,6.997977522,NA,NA,NA,2.380384329,1.842334933,3.480938479,7.509226363,73.71829079,84.41360534,2.156510976,1.020339434,-0.561581552,-1.017090366,-0.832947161,1.214114346,-1.933449638
4/10/2012,2012,YR1,2012-04,peak,9,2,2.106194271,0.082361111,44.52101263,241.8169461,7.057445039,34.29013877,0.401670216,0.009821595,10.2820378,5.842053283,0.158829762,0.839733885,2.562320468,2.471352399,2.704311724,9.889701077,94.30189449,74.17909689,4.596144131,1.420241056,0.094487635,-1.382695348,-0.584808897,1.116142839,-1.315550032
