date,year,trt_yr,yr_mon,month,peak,stream,ratio,mean.chla,mean.afdm,mean.dm,mean.bf.ratio,mean.cp,mean.cn,mean.np,se.chla,se.afdm,se.dm,se.bf.ratio,se.cp,se.cn,se.np,mean.mass.p,mean.mass.n,Light,Discharge,Temp,mean.light2,mean.discharge2,mean.temp2,mean.din2,mean.srp2,mean.np2,light2.z,temp2.z,discharge2.z,addN2.z,addP2.z,addNP2.z
9/10/2010,2010,PRE,2010-09,9,notpeak,9,2,1.260926042,0.2736875,1.660701389,0.003008931,975.6702998,19.49979866,51.94850678,1.074501186,0.094287634,0.572532342,0.00210347,237.743262,3.498341563,8.954952543,0.007290033,0.174966926,0.253541572,1.544967867,16.36206181,0.290374747,1.544967867,17.52091632,23.9474,2,26.51319286,-1.495101441,1.457085399,-2.193462721,-1.965958744,-1.622846147,0.115380607
10/10/2010,2010,PRE,2010-10,10,notpeak,9,2,0.21415625,0.196652778,1.4035,0.000973438,787.6688167,13.65926345,59.25718308,0.21415625,0.044994951,0.3501675,0.000973437,114.2809367,2.428713129,5.447299838,0.003056195,0.084331451,0.434492203,2.80311453,11.78441331,0.344016887,2.174041199,14.07323756,19.9825625,2,22.12355134,-1.264310292,0.935014665,-1.69877936,-2.148346159,-1.622846147,-0.032413515
11/10/2010,2010,PRE,2010-11,11,notpeak,9,2,0.279052083,0.222483333,3.463259259,0.001483333,NA,NA,NA,0.142949677,0.033403971,0.883319306,0.000771951,NA,NA,NA,0.006812571,NA,0.783825632,5.375407825,8.474778125,0.609158918,4.089261178,10.12959572,14.7588625,2.475,13.93354087,-0.486392549,0.151591956,-0.783839594,-2.453685568,-1.461316719,-0.409937211
12/10/2010,2010,PRE,2010-12,12,notpeak,9,2,0.33096875,0.109055556,1.263305556,0.004171875,NA,NA,NA,0.238707306,0.015529393,0.432884241,0.003158893,NA,NA,NA,0.00462505,NA,0.689390009,7.189047866,3.596406586,0.736607821,6.282227846,6.035592356,13.2077125,2.6104125,11.36351352,-0.227748806,-1.082075036,-0.16203929,-2.565579713,-1.42093849,-0.576423275
1/10/2011,2011,PRE,2011-01,1,notpeak,9,2,0.395864583,0.045018444,0.119259259,0.010427255,487.6970769,9.886809535,42.152462,0.195443152,0.011860672,0.033825584,0.004956943,298.0395233,5.07949308,7.138607193,0.000822298,0.014783062,0.623509753,5.386954096,2.730728495,0.656449881,6.288000981,3.163567541,20.9977125,2.270825,12.59385513,-0.384600664,-2.621155274,-0.160709058,-2.098412761,-1.52658032,-0.492481521
2/10/2011,2011,PRE,2011-02,2,notpeak,9,2,1.046445313,0.099270833,0.581423611,0.012426644,213.895924,6.93667301,31.3773668,0.302693152,0.015218464,0.034126858,0.004388237,55.37327859,0.348559978,8.825775409,0.003638471,0.052015419,1.480551144,5.341602559,4.884449777,1.052030449,5.364278328,3.807589136,25.44125,3.247,14.86817502,0.257502136,-2.179674117,-0.390801276,-1.9049827,-1.25552039,-0.356923891
3/10/2011,2011,PRE,2011-03,3,peak,9,2,0.908541666,0.100509259,0.635787037,0.009453314,127.9429579,3.346750661,30.51502317,0.306044236,0.010081437,0.094413133,0.003774043,68.7341854,1.105259702,14.18351854,0.002846425,0.02662937,2.632755369,8.784768162,7.566591398,2.056653256,7.063185361,6.225520588,18.34625,3.20725,12.63862015,1.170162121,-1.008255582,0.007648597,-2.234435988,-1.264857422,-0.489584253
4/10/2011,2011,PRE,2011-04,4,peak,9,2,2.419316667,0.148648347,0.954097222,0.020147972,523.4190439,11.70178261,36.78989484,0.525285171,0.035498597,0.227847222,0.005558061,400.2583239,5.636761929,16.48316771,0.005758274,0.071217069,3.695435675,7.373650227,10.02279965,3.164095522,8.079209195,8.794695524,13.42875,3.668625,8.382116944,1.756658093,-0.185095939,0.202283778,-2.548855477,-1.162976894,-0.824903235
5/10/2011,2011,PRE,2011-05,5,peak,9,2,1.98737,0.073394444,0.595120833,0.032633785,247.1630501,6.439196311,37.26584347,0.655618603,0.0058805,0.060066339,0.011627157,56.16314689,0.760083784,3.996509424,0.001861552,0.031235694,0.593075314,3.867783749,11.93254839,2.144255494,5.620716988,10.97767402,11.9675,4.16975,6.355168604,1.226951503,0.343156099,-0.32317406,-2.664941997,-1.065920352,-1.050948598
6/10/2011,2011,PRE,2011-06,6,peak,9,2,0.929957292,0.1194875,1.185152778,0.008633549,627.9123028,9.685573701,53.34124507,0.108085499,0.02060872,0.097743416,0.001840158,417.7586993,1.344697682,30.23392069,0.004052287,0.050878405,0.480809965,2.628734712,15.86023333,0.536942639,3.248259231,13.89639086,NA,NA,NA,-0.658191291,0.904885124,-1.11728086,NA,NA,NA
7/10/2011,2011,PRE,2011-07,7,notpeak,9,2,3.182491667,0.118277778,1.199361111,0.025880822,523.3058188,12.38871608,40.55042084,1.427884525,0.010984136,0.292949898,0.01126288,139.9054494,2.470536042,3.865086604,0.003285005,0.059828633,0.304784796,0.906350742,17.65216129,0.39279738,1.767542727,16.75619731,NA,NA,7.476489427,-1.083777497,1.35075776,-1.998553368,NA,NA,-0.918264465
8/10/2011,2011,YR1,2011-08,8,notpeak,9,2,0.79043125,0.399401807,3.684518519,0.002243901,594.0187619,10.8467665,49.77522755,0.327607639,0.110600758,1.020302191,0.000690704,350.7117026,2.73683835,19.7740913,0.010666917,0.33105868,0.425671766,0.52583642,18.19919355,0.365228281,0.716093581,17.92567742,110.6627163,126.9276483,8.323235071,-1.182852136,1.51150052,-3.307053673,-0.423596627,1.523303064,-0.83065945
